levelId	levelName	unitName	questionType	sourceType	question	choiceA	choiceB	choiceC	choiceD	answer	formulaHint	symbolNote	thinkingGuide	worksheetHint	difficulty	gameMode	teacherNote
3-2-L3-Q1	總項數偵查	3-2 插入等比項	singleChoice	warmup	在 16 與 81 之間插入 3 個數，完整等比數列共有幾項？	3	4	5	6	C	插入數加上左右兩端。	完整項數	先畫 16, □, □, □, 81，再數位置。	先畫格子，再數完整項數。	easy	warmup	學生容易只數插入的 3 個數，需提醒兩端也算。
3-2-L3-Q2	公比步數	3-2 插入等比項	singleChoice	main	在完整數列第 1 項到第 5 項之間，一共乘了幾次公比？	3	4	5	6	B	第 1 到第 5 項有 4 個間隔。	r 的次數	數箭頭，不是數項數。	畫 5 個位置，數中間有幾個箭頭。	easy	main	用 1→2→3→4→5 示範。
3-2-L3-Q3	公比反推	3-2 插入等比項	singleChoice	main	在 16 與 81 之間插入 3 個數成等比數列，若取正公比，公比是多少？	3/2	2/3	4	9	A	81=16×r^4	r^4	完整數列共有 5 項，所以首項到末項乘了 4 次公比。	先列 81=16×r^4，再測試選項。	medium	main	不要直接給答案，讓學生測試選項。
3-2-L3-Q4	插入三項	3-2 插入等比項	shortAnswer	practice	在 16 與 81 之間插入 3 個數，若取正公比，請寫出插入的 3 個數。					24,36,54	每次乘 3/2。	插入項是第 2、3、4 項。	從 16 開始逐格乘，不要跳步。	用格子圖逐格乘。	medium	practice	可接受空格或逗號分隔。
3-2-L3-Q5	負公比可能	3-2 插入等比項	singleChoice	challenge	同樣在 16 與 81 之間插入 3 個數，若取負公比，下列哪一串完整數列正確？	16, -24, 36, -54, 81	16, 24, 36, 54, 81	16, -18, 36, -72, 81	16, -24, -36, -54, 81	A	負公比會正負交替。	負公比	檢查每一步後項除以前項是否相同。	逐項檢查後項除以前項是否固定。	hard	challenge	引導學生用相鄰兩項的比判斷。
3-2-L4-Q1	中項公式	3-2 等比中項與級數概念	singleChoice	warmup	若 b 是 a 與 c 的等比中項，下列哪個關係正確？	b^2=ac	b=(a+c)/2	b=a+c	b=c-a	A	b/a=c/b，因此 b^2=ac。	等比中項	等比中項看倍數，不是看平均。	先寫 b/a=c/b，再交叉相乘。	easy	warmup	提醒不要和等差中項混淆。
3-2-L4-Q2	兩個中項	3-2 等比中項與級數概念	shortAnswer	main	試求 64 與 1/4 的等比中項，請用逗號寫出兩個答案。					4,-4	b^2=64×1/4。	正負兩個可能	平方後得到同一個正數時，正負都要檢查。	注意等比中項可能有正負兩個。	medium	main	不要在提示中直接只給正答案。
3-2-L4-Q3	正負提醒	3-2 等比中項與級數概念	singleChoice	main	為什麼 64 與 1/4 的等比中項有兩個？	因為平方後正負都可能得到同一個正數	因為等比中項一定是平均數	因為公比一定是 1	因為兩端數字相加有兩種方法	A	4^2 與 (-4)^2 都是正數。	平方	重點在平方後的結果，不是在相加。	用 4^2 與 (-4)^2 觀察。	medium	main	用平方概念處理漏負號問題。
3-2-L4-Q4	級數概念	3-2 等比中項與級數概念	singleChoice	warmup	等比級數最接近下列哪個意思？	把等比數列各項相加	只看公比	把每項相乘	只看首項	A	級數是把各項相加。	級數	數列是排隊，級數是相加。	寫一組等比數列，再把逗號改成加號。	easy	warmup	先建立概念，不急著公式。
3-2-L4-Q5	逐項相加	3-2 等比中項與級數概念	shortAnswer	practice	請把等比數列 3, 6, 12, 24 的前 4 項寫成級數。					3+6+12+24	用加號連接各項。	展開式	把逗號改成加號，不需要算總和。	把數列的逗號換成加號。	easy	practice	可接受全形加號與空格。
3-2-L4-Q6	Sn 意思	3-2 等比中項與級數概念	singleChoice	main	等比級數前 n 項和常用哪個符號表示？	Sn	an	r	d	A	S 代表 sum。	Sn	前 n 項和不是第 n 項。	S 通常代表 sum，Sn 是前 n 項和。	easy	main	可銜接下一節等比級數公式。
